Time,Position X,Position Y,Position Z
0.01,35.0,3.0,-30.0
0.02,35.01909279589192,3.233336277881771,-29.875969224003764
0.03,35.036146668485785,3.466487427338179,-29.751908076820484
0.04,35.05116209072748,3.6993736398455694,-29.6278316657823
0.05,35.06413973567881,3.931915186574503,-29.50375509430069
0.06,35.075080476464926,4.164032450339445,-29.37969346036034
0.07,35.08398538620141,4.395645957503797,-29.255661855013347
0.08,35.09085573790097,4.626676409827497,-29.131675360873977
0.09,35.09569300435973,4.857044716244422,-29.007749050614137
0.1,35.098498858023255,5.086672024556888,-28.8838979854597
0.11,35.09927517083205,5.315479753034535,-28.76013721368789
0.12,35.09802401404683,5.543389621904961,-28.636481769125844
0.13,35.09474765805341,5.770323684723483,-28.512946669650557
0.14,35.08944857214724,5.996204359609468,-28.389546915690374
0.15,35.08212942429769,6.220954460336728,-28.26629748872816
0.16,35.07279308089199,6.444497227265518,-28.143213349806363
0.17,35.061442606458975,6.666756358103775,-28.02030943803409
0.18,35.04808126337258,6.887656038485254,-27.8976006690964
0.19,35.032712511535124,7.10712097235233,-27.775101933765946
0.2,35.01534000804051,7.325076412131312,-27.65282809641717
0.21,34.99596760681726,7.541448188688163,-27.530793993543156
0.22,34.97459935825148,7.756162741052654,-27.409014432275363
0.23,34.95123950878987,7.969147145899045,-27.28750418890637
0.24,34.9258925005227,8.180329146771491,-27.166278007415812
0.25,34.89856297074693,8.389637183042469,-27.045350597999626
0.26,34.86925575150945,8.597000418592652,-26.924736635602823
0.27,34.83797586913052,8.802348770200727,-26.804450758455918
0.28,34.804728543707526,9.005612935631818,-26.684507566615164
0.29,34.76951918859902,9.20672442141325,-26.564921620506766
0.3,34.732353409889214,9.405615570286555,-26.44570743947523
0.31,34.69323700583292,9.602219588324731,-26.326879500335973
0.32,34.652175966281085,9.796470571703905,-26.208452235932405
0.33,34.609176472086936,9.988303533118673,-26.090440033697565
0.34,34.56424489449283,10.17765442783058,-25.972857234220516
0.35000000000000003,34.51738779449794,10.364460179339286,-25.855718129817628
0.36,34.46861192220678,10.548658704666165,-25.739036963108894
0.37,34.41792421615874,10.730188939240229,-25.622827925599424
0.38,34.36533180263863,10.90899086137641,-25.50710515626629
0.39,34.310841994968456,11.085005516336414,-25.391882740150827
0.4,34.25446229278037,11.258175039962536,-25.277174706956558
0.41000000000000003,34.19620038127098,11.428442681874962,-25.162995029652887
0.42,34.13606413043712,11.5957528282233,-25.049357623084685
0.43,34.07406159429315,11.760051023983248,-24.936276342587927
0.44,34.01020101006986,11.921283994789444,-24.823764982611497
0.45,33.94449079739522,12.07939966829584,-24.711837275345324
0.46,33.87693955745681,12.234347195054978,-24.600506889354968
0.47000000000000003,33.80755607214638,12.386076968907888,-24.489787428222783
0.48,33.73634930318639,12.534540646876424,-24.379692429195828
0.49,33.66332839123865,12.679691168550086,-24.270235361840616
0.5,33.588502654995416,12.821482774959593,-24.16142962670486
0.51,33.5118815902527,12.959871026929653,-24.053288553986334
0.52,33.43347486896621,13.094812822903597,-23.945825402209
0.53,33.35329233828983,13.226266416232756,-23.83905335690648
0.54,33.27134401959692,13.35419143192366,-23.73298552931308
0.55,33.18764010748435,13.478548882836382,-23.627634955062426
0.56,33.10219096875963,13.599301185327539,-23.523014592893855
0.5700000000000001,33.01500714141105,13.716412174331701,-23.419137323366712
0.58,32.92609933356104,13.82984711787519,-23.316015947582663
0.59,32.8354784224029,13.939572731016456,-23.21366318591613
0.6,32.74315545312093,14.045557189207466,-23.112091676753
0.61,32.64914163779416,14.147770141070753,-23.01131397523772
0.62,32.553448354283795,14.246182720587043,-22.911342552028895
0.63,32.456087145104455,14.340767558688569,-22.81218979206353
0.64,32.357069716279405,14.431498794253422,-22.71386799333001
0.65,32.256407936179805,14.518352084496591,-22.616389365649965
0.66,32.15411383434823,14.601304614753499,-22.519766029469128
0.67,32.05019960030649,14.680335107652121,-22.424010014657306
0.68,31.94467758234791,14.755423831670047,-22.329133259317594
0.6900000000000001,31.837560286314247,14.826552609073032,-22.23514760860492
0.7000000000000001,31.72886037435728,14.893704823231884,-22.14206481355411
0.71,31.61859066368531,14.956865425314744,-22.049896529917504
0.72,31.506764125294634,15.016020940352092,-21.95865431701229
0.73,31.393393882686134,15.071159472672036,-21.868349636577705
0.74,31.27849321056716,15.122270710703718,-21.778993851642138
0.75,31.162075533538797,15.169345931146902,-21.690598225400322
0.76,31.04415442476867,15.212378002506085,-21.603173920100716
0.77,30.924743604649425,15.251361387987693,-21.51673199594317
0.78,30.80385693944302,15.286292147759198,-21.431283409987035
0.79,30.681508439910974,15.31716794056927,-21.34683901506978
0.8,30.557712259930714,15.343988024728258,-21.26340955873628
0.81,30.432482695098116,15.366753258448654,-21.18100568217889
0.8200000000000001,30.30583418131648,15.38546609954534,-21.099637919188353
0.8300000000000001,30.17778129337196,15.400130604495772,-21.019316695115794
0.84,30.048338743495673,15.41075242686041,-20.94005232584575
0.85,29.91752137991261,15.41733881506408,-20.861855016780492
0.86,29.785344185377458,15.419898609539063,-20.784734861835698
0.87,29.65182227569754,15.4184422392311,-20.708701842447567
0.88,29.516970898242942,15.412981717469656,-20.633765826591553
0.89,29.380805430444003,15.40353063720409,-20.55993656781278
0.9,29.243341378276337,15.390104165607605,-20.487223704268303
0.91,29.104594374733477,15.372719038051123,-20.415636757781268
0.92,28.9645801782873,15.351393551449476,-20.34518513290717
0.93,28.823314671336398,15.326147556982534,-20.275878116012247
0.9400000000000001,28.6808138586425,15.297002452194164,-20.207724874364185
0.9500000000000001,28.537093865755104,15.263981172472162,-20.140734455235197
0.96,28.392170937424424,15.227108181912518,-20.074915785017648
0.97,28.246061436002858,15.186409463571657,-20.0102776683523
0.98,28.098781839835013,15.141912509110503,-19.9468287872693
0.99,27.950348741636525,15.093646307834495,-19.884577700342074
1.0,27.800778846861697,15.041641335133901,-19.823532841854135
1.01,27.65008897206017,14.985929540329,-19.76370252097904
1.02,27.498296043222727,14.926544333924978,-19.705094920973544
1.03,27.345417094116304,14.863520574281594,-19.647718098384058
1.04,27.19146926460842,14.796894553702892,-19.59157998226657
1.05,27.036469798981035,14.726703983952506,-19.536688373420102
1.06,26.88043604423406,14.652987981200301,-19.48305094363382
1.07,26.723385448378533,14.575787050406312,-19.430675234947937
1.08,26.565335558719624,14.495143069148211,-19.37956865892847
1.09,26.406304020129546,14.411099270898706,-19.329738495956
1.1,26.24630857331046,14.323700227759527,-19.281191894528522
1.11,26.085367053047506,14.232991832658852,-19.233935870578495
1.12,25.923497386451967,14.13902128101925,-19.187977306804186
1.1300000000000001,25.76071759119475,14.041837051903432,-19.143322952015417
1.1400000000000001,25.597045773730144,13.941488888645294,-19.0999794204938
1.1500000000000001,25.432500127510004,13.838027778973963,-19.057953191367577
1.16,25.267098931188404,13.731505934638745,-19.01725060800112
1.17,25.100860546816772,13.621976770543087,-18.9778778773992
1.18,24.93380341802959,13.509494883395833,-18.939841069626116
1.19,24.765946068220707,13.394116029888307,-18.90314611723973
1.2,24.59730709871025,13.27589710440587,-18.867798814740485
1.21,24.427905186902198,13.15489611628286,-18.833804818035528
1.22,24.257759084432625,13.031172166609961,-18.801169643917877
1.23,24.086887615308587,12.90478542460324,-18.76989866956081
1.24,23.91530967403771,12.775797103544287,-18.739997132027444
